time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
27.958,0.3177,0.4047,0.087,0.006
28.008,0.3185,0.4047,0.0862,0.01
28.06,0.3185,0.4047,0.0862,0.006
28.109,0.319,0.4047,0.0857,0.006
28.159,0.3191,0.4047,0.0856,0.006
28.209,0.3195,0.4047,0.0852,0.008
28.259,0.3201,0.4047,0.0846,0.0102
28.309,0.3204,0.4047,0.0843,0.008
28.359,0.3212,0.4047,0.0835,0.0102
28.409,0.3212,0.4047,0.0835,0.008
28.459,0.3216,0.4047,0.0831,0.008
28.509,0.3218,0.4047,0.0829,0.008
28.559,0.3219,0.4047,0.0828,0.006
28.609,0.3229,0.4047,0.0818,0.008
28.659,0.323,0.4047,0.0817,0.006
28.709,0.3241,0.4047,0.0806,0.006
28.759,0.3245,0.4047,0.0802,0.008
28.809,0.3246,0.4047,0.0801,0.004
28.859,0.3248,0.4047,0.0799,0.004
28.909,0.3251,0.4047,0.0796,0.004
28.959,0.3258,0.4047,0.0789,0.006
29.009,0.3261,0.4047,0.0786,0.006
29.059,0.3268,0.4047,0.0779,0.006
